ID,idhspid,dhsid,mean_pn,num
425,85401        3140  8,BF199300000031,75.23344444444444,9
426,85401        3142  2,BF199300000031,82.79833333333333,9
427,85401        3142  2,BF199300000031,38.75277777777777,9
428,85401        3143  2,BF199300000031,37.13077777777778,9
429,85401        3144  1,BF199300000031,71.066,9
430,85401        3146  2,BF199300000031,84.94288888888889,9
431,85401        3146  2,BF199300000031,3.099,5
432,85401        3147  2,BF199300000031,47.18377777777778,9
433,85401        3150  5,BF199300000031,58.471888888888884,9
434,85401        3150  9,BF199300000031,47.18377777777778,9
435,85401        3150  9,BF199300000031,71.08911111111111,9
436,85401        3151  1,BF199300000031,84.43411111111111,9
437,85401        3152  2,BF199300000031,27.62322222222222,9
438,85401        3153  2,BF199300000031,59.64422222222222,9
439,85401        3153  2,BF199300000031,60.47422222222222,9
440,85401        3153  4,BF199300000031,60.47422222222222,9
441,85401        3154  2,BF199300000031,69.17099999999999,9
443,85401        3154  3,BF199300000031,75.23344444444444,9
444,85401        3154  3,BF199300000031,38.75277777777777,9
445,85401        3154  4,BF199300000031,72.13555555555556,9
446,85401        3157  2,BF199300000031,89.20611111111111,9
447,85401        3158  2,BF199300000031,69.70911111111111,9
448,85401        3160  2,BF199300000031,59.64422222222222,9
449,85401        3160  2,BF199300000031,76.56222222222222,9
450,85401        3161  2,BF199300000031,7.578666666666667,6
451,85401        3162  2,BF199300000031,89.19288888888889,9
452,85401        32 1  2,BF199300000032,59.64422222222222,9
453,85401        32 1  2,BF199300000032,85.29888888888888,9
454,85401        32 2  2,BF199300000032,83.87444444444445,9
455,85401        32 2  2,BF199300000032,7.578666666666667,6
456,85401        32 9  2,BF199300000032,50.20177777777778,9
457,85401        3211  2,BF199300000032,39.257666666666665,9
458,85401        3211  2,BF199300000032,83.82333333333334,9
459,85401        3212  2,BF199300000032,84.03166666666667,9
460,85401        3212  2,BF199300000032,0.603,1
461,85401        3213  2,BF199300000032,83.68133333333333,9
463,85401        3215  6,BF199300000032,59.64422222222222,9
464,85401        3215  6,BF199300000032,37.11277777777778,9
465,85401        3215  6,BF199300000032,85.29888888888888,9
466,85401        3215 12,BF199300000032,38.75277777777777,9
468,85401        3216  6,BF199300000032,47.18377777777778,9
470,85401        3216  6,BF199300000032,69.70911111111111,9
471,85401        3218  2,BF199300000032,7.578666666666667,6
472,85401        3220  2,BF199300000032,65.88811111111112,9
473,85401        3221  2,BF199300000032,82.79833333333333,9
474,85401        3221  2,BF199300000032,69.70911111111111,9
475,85401        3224  2,BF199300000032,60.47422222222222,9
476,85401        33 1  1,BF199300000033,65.88811111111112,9
477,85401        33 1  1,BF199300000033,2.4852499999999997,4
478,85401        33 1  7,BF199300000033,75.04133333333333,9
479,85401        33 2  7,BF199300000033,65.88811111111112,9
480,85401        33 2 10,BF199300000033,75.04133333333333,9
481,85401        33 3  2,BF199300000033,80.645,9
483,85401        33 4  2,BF199300000033,76.56222222222222,9
484,85401        33 8  7,BF199300000033,25.786666666666665,9
485,85401        33 9  2,BF199300000033,24.194444444444446,9
486,85401        33 9  2,BF199300000033,24.194444444444446,9
488,85401        3310  2,BF199300000033,89.19288888888889,9
489,85401        3314  2,BF199300000033,37.11277777777778,9
491,85401        34 1  9,BF199300000034,60.47422222222222,9
493,85401        34 5  2,BF199300000034,85.29888888888888,9
494,85401        34 6  2,BF199300000034,65.88811111111112,9
495,85401        34 6  2,BF199300000034,71.066,9
496,85401        34 7  2,BF199300000034,39.257666666666665,9
497,85401        34 7  4,BF199300000034,71.10811111111111,9
498,85401        34 7  4,BF199300000034,80.58377777777777,9
499,85401        34 8  2,BF199300000034,25.786666666666665,9
500,85401        34 8  2,BF199300000034,25.786666666666665,9
503,85401        34 9 11,BF199300000034,21.945555555555558,9
504,85401        34 9 11,BF199300000034,3.099,5
505,85401        3411  2,BF199300000034,76.56222222222222,9
506,85401        3411  2,BF199300000034,0.4886666666666667,3
507,85401        35 8  7,BF199300000035,72.13555555555556,9
508,85401        35 9  8,BF199300000035,80.645,9
509,85401        35 9  8,BF199300000035,52.37544444444444,9
510,85401        3512  2,BF199300000035,27.62322222222222,9
511,85401        3513  2,BF199300000035,76.56222222222222,9
512,85401        3513  2,BF199300000035,58.471888888888884,9
513,85401        3513  2,BF199300000035,81.19611111111111,9
514,85401        3516 10,BF199300000035,65.88811111111112,9
515,85401        3517  2,BF199300000035,2.4852499999999997,4
516,85401        3517  9,BF199300000035,89.20611111111111,9
517,85401        3517 14,BF199300000035,63.531666666666666,9
518,85401        3517 14,BF199300000035,2.4852499999999997,4
519,85401        3520 11,BF199300000035,70.90377777777778,9
520,85401        3521  2,BF199300000035,81.19611111111111,9
521,85401        3522  3,BF199300000035,76.56222222222222,9
522,85401        3522  3,BF199300000035,0.33,2
523,85401        3524  3,BF199300000035,75.04133333333333,9
524,85401        3524  4,BF199300000035,89.20611111111111,9
525,85401        3524  4,BF199300000035,3.099,5
526,85401        3526  2,BF199300000035,71.08911111111111,9
527,85401        36 2  8,BF199300000036,58.471888888888884,9
528,85401        36 2 15,BF199300000036,82.79833333333333,9
529,85401        36 2 15,BF199300000036,80.58377777777777,9
530,85401        36 4  1,BF199300000036,42.792,9
531,85401        36 4  6,BF199300000036,75.23344444444444,9
532,85401        36 4  6,BF199300000036,27.62322222222222,9
533,85401        36 6  2,BF199300000036,58.471888888888884,9
534,85401        36 8  2,BF199300000036,85.27833333333334,9
535,85401        3610  7,BF199300000036,76.56222222222222,9
536,85401        3612  2,BF199300000036,27.62322222222222,9
537,85401        3613  2,BF199300000036,59.64422222222222,9
538,85401        3613  2,BF199300000036,80.58377777777777,9
539,85401        3613 10,BF199300000036,39.70144444444445,9
540,85401        3614  2,BF199300000036,71.08911111111111,9
541,85401        3618  2,BF199300000036,37.11277777777778,9
542,85401        3618  2,BF199300000036,69.70911111111111,9
543,85401        3618 10,BF199300000036,15.095777777777778,9
544,85401        3618 10,BF199300000036,89.19288888888889,9
545,85401        3618 10,BF199300000036,17.694714285714287,7
546,85401        3619  2,BF199300000036,80.645,9
547,85401        3623  2,BF199300000036,72.13555555555556,9
548,85401        3626  2,BF199300000036,68.80033333333333,9
549,85401        3629  2,BF199300000036,89.19288888888889,9
550,85401        3632  2,BF199300000036,60.47422222222222,9
551,85401        3633  2,BF199300000036,76.56222222222222,9
553,85401        3634  2,BF199300000036,74.47677777777778,9
554,85401        3634  2,BF199300000036,80.58377777777777,9
555,85401        3616  2,BF199300000036,37.11277777777778,9
557,85401        3616  5,BF199300000036,74.47677777777778,9
558,85401        37 1  2,BF199300000037,25.786666666666665,9
559,85401        37 2  2,BF199300000037,60.47422222222222,9
560,85401        37 5  2,BF199300000037,84.94288888888889,9
